#,Spalte,Tesseract/CRNN,YOLO,TrOCR,HTR-VT,Final,Score
1,Age,,,End .,,Fnd,66
2,Age,,,Ind .,,Fnd,66
3,Age,,,78 .,,,-1
4,Age,,,IS .,,Fd,45
5,Age,,,IS .,,Fd,45
6,Age,,,IS .,,Fd,45
7,Age,,,TO .,,Fd,45
8,Age,,,_ Fus .,,Fnd,45
9,Age,,,IS .,,Fd,45
10,Age,,,_F8,,Fd,45
11,Age,,,TS.,,Fd,45
12,Age,,,75,,,-1
13,Age,,,IS,,Fd,45
14,Age,,,- 18 ..,,,-1
15,Age,,,_ Id,,Fd,45
16,Age,,,To,,Fd,45
17,Age,,,Fd,,Fd,100
18,Age,,,_ Id,,Fd,45
19,Age,,,Tud,,Fnd,45
20,Age,,,_ Tud .,,Fnd,45
21,Age,,,Tud,,Fnd,45
22,Age,,,Ind,,Fnd,66
23,Age,,,- Fd,,Fd,100
24,Age,,,_Ind,,Fnd,66
25,Age,,,Fad,,Fd,80
26,Age,,,_ Tel .,,Fd,45
27,Age,,,- Fol,,Fd,45
28,Age,,,F,,Fd,66
29,Age,,,Fol,,Fd,45
30,Age,,,Fd,,Fd,100
31,Age,,,_ End .,,Fnd,66
32,Age,,,Ed,,Fd,45
33,Age,,,Fd,,Fd,100
34,Age,,,FV,,Fd,45
35,Age,,,Fd,,Fd,100
36,Age,,,Fd,,Fd,100
37,Age,,,I'd,,Fd,45
38,Age,,,Ed,,Fd,45
39,Age,,,Fd,,Fd,100
40,Age,,,Fid,,Fd,80
41,Age,,,Ed,,Fd,45
42,Age,,,IA,,Fd,45
43,Age,,,_Fd,,Fd,100
44,Age,,,FAL,,Fd,45
45,Age,,,Find,,Fnd,85
46,Age,,,Fd,,Fd,100
47,Age,,,Fd,,Fd,100
48,Age,,,Fol,,Fd,45
49,Age,,,Fd,,Fd,100
50,Age,,,Ed,,Fd,45
1,Aile,,71,75,,71,60
2,Aile,42,725,72 _.,,42,60
3,Aile,,17,67,,17,60
4,Aile,0,0,80,,0,90
5,Aile,,785,7 8,,785,60
6,Aile,24,79,79,,79,90
7,Aile,,72,75 .,,72,60
8,Aile,,71,71,,71,100
9,Aile,,75,75,,75,100
10,Aile,7,7,87,,7,90
11,Aile,2,74,74,,74,90
12,Aile,,72,72 .,,72,100
13,Aile,,62,65,,62,60
14,Aile,05,0127,$0.5 ..,,5,60
15,Aile,0,82,82,,82,90
16,Aile,6,69,69 .,,69,90
17,Aile,,822,82,,822,60
18,Aile,49,707,99,,49,60
19,Aile,,70,70,,70,100
