bague_no;espece;sexe;age;jour_mois;heure;aile;poids;notes
90451;Tannenmeise;;;;;64;9.5;
90452;„;;;;;63;9;
90453;„;;;;;62;9;
90454;„;;;;;63;9;
90455;„;;;;;62;9;
90456;„;;;;;65;9;
90457;„;;;;;64;9;
90458;Fitis;;;;;67;8;
90459;Hausrötel;Xm;;;;86;15;
90460;Zitronenzeisig;;;;;77;11;
90461;Tannenmeise;;;;;65;10;
90462;„;;;;;66;10;
90463;„;;;;;61;9;
90464;Birkenzeisig;;;;;71;10;
90465;„;;;;;72;10.5;
90466;Tannenmeise;;;;;61;8.5;
90467;„;;;;;61;7.5;
90468;Birkenzeisig;f;;;;70;11.5;
90469;„;(m);;;;74;11;
90470;„;f;;;;71;13;
90471;„;f;;;;69;12.5;
90472;Braunkehlchen;fX;;;;73;13;
90473;Heckenbraunelle;;;;;72;17;
90474;Birkenzeisig;;;;;72;10.5;
90475;„;m;;;;74;11.5;
90476;„;f;;;;73;11;
90477;Heckenbraunelle;;;;;70;18;
90478;Zitronenzeisig;;;;;81;12;
90479;Hausrötel;X;;;;82;15;
90480;Tannenmeise;;;;;63;8.5;
90481;„;;;;;62;9.5;
90482;„;;;;;65;9;
90483;„;;;;;65;9.5;
90484;Zitronenzeisig;;;;;76;12;
90485;Tannenmeise;;;;;62;9;
90486;Zitronenzeisig;f;;;;75;12;
90487;„;(m);;;;78;12;
90488;Blaumeise;;;;;65;10;
90489;„;;;;;67;11;
90490;Zitronenzeisig;f;;;;77;12;
90491;Blaumeise;;;;;64;9;
90492;„;;;;;67;10.5;
90493;„;;;;;63;10;
90494;„;;;;;64;10.5;
90495;„;;;;;64;9.5;
90496;Rotkehlchen;X;;;;72;16;
90497;Hausrötel;X;;;;85;15.5;
90498;Zilpzalp;;;;;61;7.5;
90499;Rotkehlchen;fX;;;;70;15.5;
90500;Heckenbraunelle;;;;;68;18;
